code;symbol;name;descr;minorUnit
EUR;€;Euro;European Euro;2
USD;$;US Dollar;United States Dollar;2
GBP;£;British Pound;British Pound Sterling;2
INR;₹;Indian Rupee;Indian Rupee;2
JPY;¥;Yen;Japanese Yen;0
CHF;CHF;Swiss Franc;Swiss Franc;2
CAD;$;Canadian Dollar;Canadian Dollar;2
AUD;$;Australian Dollar;Australian Dollar;2
SGD;$;Singapore Dollar;Singapore Dollar;2
CNY;¥;Chinese Yuan;Chinese Yuan Renminbi;2
